Instances,aspfeaturesBase/Features-n1
ASPExtended/TowersOfHanoiCompetition/mgs_towers-hanoi.21_53_6.lp.gz,1,6031,15288,15160,64,64,0
ASPExtended/planning/comm/p05.lp-30-2175.sm.gz,1,14289,20836,19066,60,1710,0
ASPExtended/ASP-Comp-2009-Lparse/CompHamiltonianPath/gryzzles.23.lp.gz,0,1756,2142,1421,592,129,0
ASPExtended/ggp/firefighter.gdlclingo.pl.gr.gz,1,4360,4905,4752,102,51,0
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-center-time=31.gz,1,5450,15375,15282,62,31,0
ASPExtended/SchurNumbers/15.4.schur.sm.gz,1,1161,22025,21650,245,130,0
ASPExtended/HamiltonianPath/gryzzles.1.lp.gz,0,1226,3102,3102,0,0,0
ASPExtended/SchurCompetition/20.5.schur.lp.gz,1,1716,85325,85065,130,130,0
ASPExtended/planning/dispose/p02_10.lp-18-4919.sm.gz,1,19906,31139,26909,36,4194,0
ASPExtended/SocialGolfer/csp010-SocialGolfer_w5_g2_s5.dlv.dat.lp.lp.gz,1,839,968,788,120,60,0
ASPExtended/laby/laby_15_15_14.lp.gz,0,39368,123196,123151,30,15,0
ASPExtended/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/altair1.10.asp.gz,0,4416,7607,6634,540,433,0
ASPExtended/ggp/duplicatestatesmall.gdlclingo.pl.gr.gz,1,245,249,234,10,5,0
ASPExtended/laby/laby_11_11_03.lp.gz,0,16074,48269,48236,22,11,0
ASPExtended/laby/laby_17_17_15.lp.gz,0,56537,179240,179189,34,17,0
ASPExtended/ASP-Comp-2009-Lparse/CompMazeGeneration/maze-generation-width=10-height=10-density=0.01-run=3.gz,0,781,1194,1193,0,1,0
ASPExtended/SchurNumbers/15.14.schur.sm.gz,1,1161,22025,21650,245,130,0
ASPExtended/ASP-Comp-2009-Lparse/CompKnightTour/knightTour.in6.gz,0,7493,9888,7500,1588,800,0
ASPExtended/WeightedSpanningTree/205_rand_32_140_1344634881_0.gph.lp.gz,1,1702,79684,77731,839,1088,26
ASPExtended/HamiltonianCycle/rand_150_1200_1154711577_9.gph.lp.gz,0,7803,11702,9002,300,2400,0
ASPExtended/RicochetRobots/robo25.lp.gz,0,31346,205926,205854,48,24,0
ASPExtended/planning/comm/p04.lp-23-113.sm.gz,1,9009,13147,11974,46,1127,0
ASPExtended/HamiltonianPath/gryzzles.33.lp.gz,0,1292,3126,3126,0,0,0
ASPExtended/planning/coins/coins08.lp-23-848.sm.gz,1,64137,110933,96144,46,14743,0
ASPExtended/laby/laby_13_13_06.lp.gz,0,26034,80079,80040,26,13,0
ASPExtended/HamiltonianPath/gryzzles.29.lp.gz,0,1218,2814,2814,0,0,0
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-edge-time=27.gz,1,4770,13393,13312,54,27,0
